"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 05 15:28:04 CST 2021","Tue Jan 05 15:28:07 CST 2021","3280","TestCase","test_01_test_camera02","TestCamera02","","","设备断开、连接",""
"passed","Tue Jan 05 15:29:28 CST 2021","Tue Jan 05 15:29:30 CST 2021","2795","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:40:49 CST 2021","Tue Jan 05 15:40:51 CST 2021","2314","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:34:38 CST 2021","Tue Jan 05 15:34:55 CST 2021","17144","TestCase","test_01_test_camera04","TestCamera04","","","设备断开、连接",""
"passed","Tue Jan 05 15:32:03 CST 2021","Tue Jan 05 15:32:05 CST 2021","2279","TestCase","test_01_test_camera04","TestCamera04","","","常亮、关闭",""
"passed","Tue Jan 05 15:29:04 CST 2021","Tue Jan 05 15:29:06 CST 2021","2297","TestCase","test_01_test_camera03","TestCamera03","","","常亮、关闭",""
"passed","Tue Jan 05 15:22:26 CST 2021","Tue Jan 05 15:22:29 CST 2021","3012","TestCase","test_01_test_camera","Testcamera01","","","设备连接、断开设备",""
"passed","Tue Jan 05 15:32:24 CST 2021","Tue Jan 05 15:32:26 CST 2021","2293","TestCase","test_01_test_camera04","TestCamera04","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:37:47 CST 2021","Tue Jan 05 15:37:51 CST 2021","4211","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:25:43 CST 2021","Tue Jan 05 15:25:45 CST 2021","2298","TestCase","test_01_test_camera02","TestCamera02","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:23:27 CST 2021","Tue Jan 05 15:23:45 CST 2021","17410","TestCase","test_01_test_camera","Testcamera01","","","编辑、删除",""
"passed","Tue Jan 05 15:29:38 CST 2021","Tue Jan 05 15:29:41 CST 2021","3181","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:35:28 CST 2021","Tue Jan 05 15:35:29 CST 2021","277","TestCase","test_01_test_camera04","TestCamera04","","","间隔,拍摄时长,轨迹",""
"passed","Tue Jan 05 15:34:57 CST 2021","Tue Jan 05 15:34:58 CST 2021","538","TestCase","test_01_test_camera04","TestCamera04","","","视频分辨率",""
"passed","Tue Jan 05 15:26:32 CST 2021","Tue Jan 05 15:26:36 CST 2021","4154","TestCase","test_01_test_camera02","TestCamera02","","","跟随、拍摄",""
"passed","Tue Jan 05 15:33:49 CST 2021","Tue Jan 05 15:33:53 CST 2021","3328","TestCase","test_01_test_camera04","TestCamera04","","","设备断开、连接",""
"passed","Tue Jan 05 15:29:02 CST 2021","Tue Jan 05 15:29:04 CST 2021","2284","TestCase","test_01_test_camera03","TestCamera03","","","常亮、关闭",""
"passed","Tue Jan 05 15:19:32 CST 2021","Tue Jan 05 15:19:35 CST 2021","2782","TestCase","test_01_test_camera","Testcamera01","","","常亮、关闭",""
"passed","Tue Jan 05 15:39:06 CST 2021","Tue Jan 05 15:39:08 CST 2021","2299","TestCase","test_01_test_camera05","TestCamera05","","","视频分辨率,倍数",""
"passed","Tue Jan 05 15:19:26 CST 2021","Tue Jan 05 15:19:29 CST 2021","2842","TestCase","test_01_test_camera","Testcamera01","","","常亮、关闭",""
"passed","Tue Jan 05 15:17:42 CST 2021","Tue Jan 05 15:18:03 CST 2021","20659","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:16:29 CST 2021","Tue Jan 05 15:16:49 CST 2021","20636","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:25:38 CST 2021","Tue Jan 05 15:25:41 CST 2021","2774","TestCase","test_01_test_camera02","TestCamera02","","","常亮、关闭",""
"passed","Tue Jan 05 15:40:03 CST 2021","Tue Jan 05 15:40:08 CST 2021","4624","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:40:59 CST 2021","Tue Jan 05 15:41:02 CST 2021","2900","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:27:30 CST 2021","Tue Jan 05 15:27:34 CST 2021","4198","TestCase","test_01_test_camera02","TestCamera02","","","各种模式",""
"passed","Tue Jan 05 15:33:35 CST 2021","Tue Jan 05 15:33:40 CST 2021","4205","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:20:55 CST 2021","Tue Jan 05 15:20:59 CST 2021","3351","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:39:20 CST 2021","Tue Jan 05 15:39:22 CST 2021","2290","TestCase","test_01_test_camera05","TestCamera05","","","视频分辨率,倍数",""
"passed","Tue Jan 05 15:29:51 CST 2021","Tue Jan 05 15:29:54 CST 2021","3347","TestCase","test_01_test_camera03","TestCamera03","","","各种模式",""
"passed","Tue Jan 05 15:18:19 CST 2021","Tue Jan 05 15:18:35 CST 2021","16001","TestCase","test_01_test_camera","Testcamera01","","","3、5、7、off",""
"passed","Tue Jan 05 15:38:14 CST 2021","Tue Jan 05 15:38:18 CST 2021","3293","TestCase","test_01_test_camera05","TestCamera05","","","设备断开、连接",""
"passed","Tue Jan 05 15:25:31 CST 2021","Tue Jan 05 15:25:33 CST 2021","2799","TestCase","test_01_test_camera02","TestCamera02","","","常亮、关闭",""
"broken","Tue Jan 05 15:41:21 CST 2021","Tue Jan 05 15:41:46 CST 2021","25032","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:29:23 CST 2021","Tue Jan 05 15:29:25 CST 2021","2329","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:37:04 CST 2021","Tue Jan 05 15:37:08 CST 2021","3900","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"skipped","Tue Jan 05 15:46:08 CST 2021","Tue Jan 05 15:46:08 CST 2021","0","TestCase","test_02_test_login","TestLogin","","","登录成功",""
"passed","Tue Jan 05 15:33:43 CST 2021","Tue Jan 05 15:33:46 CST 2021","3305","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:31:11 CST 2021","Tue Jan 05 15:31:14 CST 2021","3284","TestCase","test_01_test_camera03","TestCamera03","","","设备断开、连接",""
"passed","Tue Jan 05 15:24:19 CST 2021","Tue Jan 05 15:24:26 CST 2021","6929","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:28:49 CST 2021","Tue Jan 05 15:28:52 CST 2021","3342","TestCase","test_01_test_camera03","TestCamera03","","","test_front","前置条件"
"passed","Tue Jan 05 15:22:16 CST 2021","Tue Jan 05 15:22:20 CST 2021","3310","TestCase","test_01_test_camera","Testcamera01","","","设备连接、断开设备",""
"passed","Tue Jan 05 15:29:30 CST 2021","Tue Jan 05 15:29:33 CST 2021","2300","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:26:09 CST 2021","Tue Jan 05 15:26:12 CST 2021","2883","TestCase","test_01_test_camera02","TestCamera02","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:27:57 CST 2021","Tue Jan 05 15:28:01 CST 2021","3269","TestCase","test_01_test_camera02","TestCamera02","","","设备断开、连接",""
"passed","Tue Jan 05 15:36:57 CST 2021","Tue Jan 05 15:37:01 CST 2021","3277","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:37:29 CST 2021","Tue Jan 05 15:37:33 CST 2021","4212","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"broken","Tue Jan 05 15:42:14 CST 2021","Tue Jan 05 15:42:39 CST 2021","25032","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:29:33 CST 2021","Tue Jan 05 15:29:35 CST 2021","2296","TestCase","test_01_test_camera03","TestCamera03","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:33:09 CST 2021","Tue Jan 05 15:33:17 CST 2021","7857","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:19:39 CST 2021","Tue Jan 05 15:19:42 CST 2021","2289","TestCase","test_01_test_camera","Testcamera01","","","常亮、关闭",""
"broken","Tue Jan 05 15:43:15 CST 2021","Tue Jan 05 15:43:37 CST 2021","21996","TestCase","test_01_test_camera06","TestCamera06","","","编辑、删除",""
"passed","Tue Jan 05 15:15:35 CST 2021","Tue Jan 05 15:15:52 CST 2021","16084","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:13:47 CST 2021","Tue Jan 05 15:14:05 CST 2021","18598","TestCase","test_01_test_camera","Testcamera01","","","美颜",""
"passed","Tue Jan 05 15:38:11 CST 2021","Tue Jan 05 15:38:14 CST 2021","3287","TestCase","test_01_test_camera05","TestCamera05","","","设备断开、连接",""
"passed","Tue Jan 05 15:32:36 CST 2021","Tue Jan 05 15:32:39 CST 2021","3166","TestCase","test_01_test_camera04","TestCamera04","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:19:42 CST 2021","Tue Jan 05 15:19:44 CST 2021","2284","TestCase","test_01_test_camera","Testcamera01","","","常亮、关闭",""
"passed","Tue Jan 05 15:34:02 CST 2021","Tue Jan 05 15:34:06 CST 2021","3299","TestCase","test_01_test_camera04","TestCamera04","","","设备断开、连接",""
"passed","Tue Jan 05 15:30:42 CST 2021","Tue Jan 05 15:30:45 CST 2021","3301","TestCase","test_01_test_camera03","TestCamera03","","","各种模式",""
"passed","Tue Jan 05 15:24:26 CST 2021","Tue Jan 05 15:24:30 CST 2021","3221","TestCase","test_01_test_camera02","TestCamera02","","","美颜",""
"passed","Tue Jan 05 15:31:14 CST 2021","Tue Jan 05 15:31:17 CST 2021","3002","TestCase","test_01_test_camera03","TestCamera03","","","设备断开、连接",""
"passed","Tue Jan 05 15:35:30 CST 2021","Tue Jan 05 15:35:31 CST 2021","743","TestCase","test_01_test_camera04","TestCamera04","","","间隔,拍摄时长,轨迹",""
"passed","Tue Jan 05 15:33:26 CST 2021","Tue Jan 05 15:33:29 CST 2021","3278","TestCase","test_01_test_camera04","TestCamera04","","","各种模式",""
"passed","Tue Jan 05 15:37:11 CST 2021","Tue Jan 05 15:37:14 CST 2021","3269","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:40:43 CST 2021","Tue Jan 05 15:40:46 CST 2021","2903","TestCase","test_01_test_camera06","TestCamera06","","","选择后点赞或者删除",""
"passed","Tue Jan 05 15:26:07 CST 2021","Tue Jan 05 15:26:09 CST 2021","2324","TestCase","test_01_test_camera02","TestCamera02","","","自动、晴天、阴天、白炽灯、荧光灯",""
"passed","Tue Jan 05 15:21:19 CST 2021","Tue Jan 05 15:21:23 CST 2021","3328","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:25:50 CST 2021","Tue Jan 05 15:25:52 CST 2021","2295","TestCase","test_01_test_camera02","TestCamera02","","","关闭、方格、对角+方格",""
"passed","Tue Jan 05 15:20:52 CST 2021","Tue Jan 05 15:20:55 CST 2021","3327","TestCase","test_01_test_camera","Testcamera01","","","各种模式",""
"passed","Tue Jan 05 15:28:59 CST 2021","Tue Jan 05 15:29:02 CST 2021","2289","TestCase","test_01_test_camera03","TestCamera03","","","常亮、关闭",""
"passed","Tue Jan 05 15:37:01 CST 2021","Tue Jan 05 15:37:04 CST 2021","3330","TestCase","test_01_test_camera05","TestCamera05","","","各种模式",""
"passed","Tue Jan 05 15:36:10 CST 2021","Tue Jan 05 15:36:12 CST 2021","2275","TestCase","test_01_test_camera05","TestCamera05","","","常亮、关闭",""
