 Thu, 22 Oct 2020 18:02:58  INFO logger.py <module> [ line:27 ] hehehe
 Thu, 22 Oct 2020 18:02:58  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:02  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:06  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:09  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:13  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:17  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:20  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:24  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:29  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:33  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:36  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:40  INFO conftest.py init_driver [ line:15 ] ====================登录的前置，初始化浏览器会话，打开登录页面====================
 Thu, 22 Oct 2020 18:03:45  INFO conftest.py login_web [ line:31 ] ====================上传的前置，初始化浏览器会话，登录页面====================
